"Column0","smiles","targets"
1,"C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O",0
2,"c1cnc(-n2c(C(F)(F)F)c(C(=Nc3cc(C#N)c(-n4nccn4)nc3)O)cn2)c(Cl)c1N",0
3,"C1CCN(c2c(N)cc3c(n2)nc(N2CCCCC2)s3)CC1",0
4,"C1Cc2cc(CBr)c(I)cc2C1",0
7,"CC1=C(CCCO[N+]([O-])=O)C(=O)C(OC)=C(OC)C1=O",0
12,"c1c(C=O)c(Cl)c(O)c(O)c1[N+]([O-])=O",0
15,"Cc1c(C(F)(F)F)ccc(NC)c1[N+]([O-])=O",0
17,"C1CCN(C(=Nc2cccc(N3CC(C(=NC(CC(=O)O)c4cccnc4)O)CC3=O)c2)O)CC1",0
20,"CCC(=CC(=O)OCc1ccccc1)c1ccc(C(=O)OC)cc1",0
24,"COc1c(Br)cc(C(=O)O)c(Cl)c1OC",0
27,"CC1=C(CCON=CCCO)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1",0
30,"C(CCCC(=NO)O)CCc1nc2ccc(Br)cc2[nH]1",0
32,"Cc1cnc(CNC2CCN(CCn3c4cc(OC)cnc4ccc3=O)CC2)cc1OC",0
33,"Cc1cc(Nc2ccc(S(N)(=O)=O)cc2CN)ccc1SC",0
34,"CN1CCc2cc(C(Nc3cccc(CN=C(c4ccc(OC)c(OC)c4)O)c3)=O)ccc2C1",0
37,"CN1CCc2ccc(Cl)cc2C1c1cc(C=O)sc1",0
38,"CC(c1ccc(SC)cc1)c1cc(B(O)O)c(F)nc1",0
41,"Cc1ccc(NS(c2ccc(C(C)(C)C)cc2)(=O)=O)c2c1C(=O)N(c1cccnc1)C2=O",0
42,"C1CC(C(Cl)=O)CN(C(Cc2cccs2)=O)C1",0
43,"Cc1cc(NC2CC(F)(F)C2)c(S(C)(=O)=O)cc1C(=O)O",0
44,"c1c(Cl)c(C(=O)O)c(Cl)nc1Cl",0
45,"Cc1cc(CO)n(-c2ccc(O)cc2)n1",0
46,"CC(Cc1nc2c3cccc(OC)c3[nH]c(=N)n2n1)N1CCc2c(nc(C)o2)C1",0
47,"CCN=C(Nc1cc(-c2nc(-c3ccccn3)cs2)c(-c2cc(C(=NN)O)cnc2)cn1)O",0
48,"CN(CP(O)(O)=O)S(c1cc2ccccc2s1)(=O)=O",0
50,"CC(C)(C)OC(N1CC(F)C(C)(C)C1CCC(=O)O)=O",0
51,"Cc1c(-c2ccc(-c3ccc(CC(=O)O)cc3F)c(F)c2)nc(C(=N)O)c(C)n1",0
52,"C[C@@H]1[C@H]2CSC(=N)N[C@@]2(c2cc(N=C(c3cnc(C(F)F)cn3)O)ccc2F)CO1",0
53,"CC(=NCCN=c1c(C(F)(F)F)cnc(Nc2cccc(CN3CCCCC3)c2)[nH]1)O",0
54,"Cc1ccc2c(cc3c(n2)[nH]c(O)n3)c1C",0
55,"Cc1cc(-c2cnn(C(C)c3ccc(C(N)=O)cc3)c2)cc(Nc2ncccn2)c1",0
56,"CC=C(C=O)c1cccc(Br)c1",0
57,"c1ccc(-n2c(N)cc(O)nc2=Nc2ccc(Cl)cc2)cc1",0
58,"CC1CCN(c2cc(C)ccc2C(=Nc2ccc(=NCCn3cccn3)[nH]c2)O)CC1",0
63,"CN=c1c(OCC(c2cc(Cl)ccc2C(F)(F)F)O)cnc(Cl)[nH]1",0
64,"Cn1c2cc(-n3ccc(OCc4ccc(Cl)cc4)cc3=O)ccc2nc1C1CC1C(=N)O",0
68,"CN(C)c1c2cc(Cl)ccc2nc(/C=C/c2cccc(N3CCCC3=O)n2)n1",0
70,"COc1cc(S(Cl)(=O)=O)ccc1-c1cn2ccnc(OC)c2n1",0
73,"CCOC(c1ccc(Oc2ccc(B3OC(C)(C)C(C)(C)O3)c(C=O)c2)cc1OC)=O",0
